episode_num,episode_title,character,sentiment
1,The Boy in the Iceberg,Aang,0.0
2,The Avatar Returns,Aang,1.0
3,The Southern Air Temple,Aang,1.0
4,The Warriors of Kyoshi,Aang,1.0
5,The King of Omashu,Aang,1.0
6,Imprisoned,Aang,1.0
7,"The Spirit World (Winter Solstice, Part 1)",Aang,1.0
8,"Avatar Roku (Winter Solstice, Part 2)",Aang,0.0
9,The Waterbending Scroll,Aang,1.0
10,Jet,Aang,1.0
11,The Great Divide,Aang,0.0
12,The Storm,Aang,0.0
13,The Blue Spirit,Aang,0.0
14,The Fortuneteller,Aang,1.0
15,Bato of the Water Tribe,Aang,1.0
16,The Deserter,Aang,0.0
17,The Northern Air Temple,Aang,0.0
18,The Waterbending Master,Aang,1.0
19,"The Siege of the North, Part 1",Aang,1.0
20,"The Siege of the North, Part 2",Aang,0.0
21,The Avatar State,Aang,-1.0
22,The Cave of Two Lovers,Aang,1.0
23,Return To Omashu,Aang,0.0
24,The Swamp,Aang,0.0
25,Avatar Day,Aang,1.0
26,The Blind Bandit,Aang,1.0
27,Zuko Alone,Aang,
28,The Chase,Aang,0.0
29,Bitter Work,Aang,0.0
30,The Library,Aang,1.0
31,The Desert,Aang,0.0
32,The Serpent's Pass,Aang,0.0
33,The Drill,Aang,0.0
34,City of Walls and Secrets,Aang,1.0
35,The Tales of Ba Sing Se,Aang,1.0
36,Appa's Lost Days,Aang,-1.0
37,Lake Laogai,Aang,0.0
38,The Earth King,Aang,0.0
39,The Guru,Aang,1.0
40,The Crossroads of Destiny,Aang,1.0
41,The Awakening,Aang,0.0
42,The Headband,Aang,1.0
43,The Painted Lady,Aang,1.0
44,Sokka's Master,Aang,1.0
45,The Beach,Aang,-1.0
46,The Avatar and The Firelord,Aang,1.0
47,The Runaway,Aang,1.0
48,The Puppetmaster,Aang,0.0
49,Nightmares and Daydreams,Aang,0.0
50,"The Day of Black Sun, Part 1: The Invasion",Aang,0.0
51,"The Day of Black Sun, Part 2: The Eclipse",Aang,1.0
52,The Western Air Temple,Aang,0.0
53,The Firebending Masters,Aang,0.0
54,"The Boiling Rock, Part 1",Aang,0.0
55,"The Boiling Rock, Part 2",Aang,1.0
56,The Southern Raiders,Aang,0.0
57,The Ember Island Players,Aang,0.0
58,"Sozin's Comet, Part 1: The Phoenix King",Aang,-1.0
59,"Sozin's Comet, Part 2: The Old Masters",Aang,0.0
60,"Sozin's Comet, Part 3: Into the Inferno",Aang,1.0
61,"Sozin's Comet, Part 4: Avatar Aang",Aang,-1.0
1,The Boy in the Iceberg,Katara,0.0
2,The Avatar Returns,Katara,0.0
3,The Southern Air Temple,Katara,0.0
4,The Warriors of Kyoshi,Katara,1.0
5,The King of Omashu,Katara,1.0
6,Imprisoned,Katara,1.0
7,"The Spirit World (Winter Solstice, Part 1)",Katara,1.0
8,"Avatar Roku (Winter Solstice, Part 2)",Katara,0.0
9,The Waterbending Scroll,Katara,0.0
10,Jet,Katara,0.0
11,The Great Divide,Katara,0.0
12,The Storm,Katara,0.0
13,The Blue Spirit,Katara,0.0
14,The Fortuneteller,Katara,1.0
15,Bato of the Water Tribe,Katara,1.0
16,The Deserter,Katara,1.0
17,The Northern Air Temple,Katara,0.0
18,The Waterbending Master,Katara,0.0
19,"The Siege of the North, Part 1",Katara,1.0
20,"The Siege of the North, Part 2",Katara,0.0
21,The Avatar State,Katara,-1.0
22,The Cave of Two Lovers,Katara,0.0
23,Return To Omashu,Katara,1.0
24,The Swamp,Katara,0.0
25,Avatar Day,Katara,1.0
26,The Blind Bandit,Katara,1.0
27,Zuko Alone,Katara,
28,The Chase,Katara,0.0
29,Bitter Work,Katara,1.0
30,The Library,Katara,0.0
31,The Desert,Katara,0.0
32,The Serpent's Pass,Katara,1.0
33,The Drill,Katara,-1.0
34,City of Walls and Secrets,Katara,0.0
35,The Tales of Ba Sing Se,Katara,1.0
36,Appa's Lost Days,Katara,
37,Lake Laogai,Katara,-1.0
38,The Earth King,Katara,0.0
39,The Guru,Katara,1.0
40,The Crossroads of Destiny,Katara,0.0
41,The Awakening,Katara,0.0
42,The Headband,Katara,1.0
43,The Painted Lady,Katara,1.0
44,Sokka's Master,Katara,0.0
45,The Beach,Katara,1.0
46,The Avatar and The Firelord,Katara,-1.0
47,The Runaway,Katara,0.0
48,The Puppetmaster,Katara,0.0
49,Nightmares and Daydreams,Katara,1.0
50,"The Day of Black Sun, Part 1: The Invasion",Katara,1.0
51,"The Day of Black Sun, Part 2: The Eclipse",Katara,0.0
52,The Western Air Temple,Katara,-1.0
53,The Firebending Masters,Katara,0.0
54,"The Boiling Rock, Part 1",Katara,-1.0
55,"The Boiling Rock, Part 2",Katara,-1.0
56,The Southern Raiders,Katara,-1.0
57,The Ember Island Players,Katara,0.0
58,"Sozin's Comet, Part 1: The Phoenix King",Katara,0.0
59,"Sozin's Comet, Part 2: The Old Masters",Katara,1.0
