episode_num,episode_title,character,total_sentiment
1,The Boy in the Iceberg,Aang,0.0
2,The Avatar Returns,Aang,1.0
3,The Southern Air Temple,Aang,2.0
4,The Warriors of Kyoshi,Aang,3.0
5,The King of Omashu,Aang,4.0
6,Imprisoned,Aang,5.0
7,"The Spirit World (Winter Solstice, Part 1)",Aang,6.0
8,"Avatar Roku (Winter Solstice, Part 2)",Aang,6.0
9,The Waterbending Scroll,Aang,7.0
10,Jet,Aang,8.0
11,The Great Divide,Aang,8.0
12,The Storm,Aang,8.0
13,The Blue Spirit,Aang,8.0
14,The Fortuneteller,Aang,9.0
15,Bato of the Water Tribe,Aang,10.0
16,The Deserter,Aang,10.0
17,The Northern Air Temple,Aang,10.0
18,The Waterbending Master,Aang,11.0
19,"The Siege of the North, Part 1",Aang,12.0
20,"The Siege of the North, Part 2",Aang,12.0
21,The Avatar State,Aang,11.0
22,The Cave of Two Lovers,Aang,12.0
23,Return To Omashu,Aang,12.0
24,The Swamp,Aang,12.0
25,Avatar Day,Aang,13.0
26,The Blind Bandit,Aang,14.0
27,Zuko Alone,Aang,
28,The Chase,Aang,14.0
29,Bitter Work,Aang,14.0
30,The Library,Aang,15.0
31,The Desert,Aang,15.0
32,The Serpent's Pass,Aang,15.0
33,The Drill,Aang,15.0
34,City of Walls and Secrets,Aang,16.0
35,The Tales of Ba Sing Se,Aang,17.0
36,Appa's Lost Days,Aang,16.0
37,Lake Laogai,Aang,16.0
38,The Earth King,Aang,16.0
39,The Guru,Aang,17.0
40,The Crossroads of Destiny,Aang,18.0
41,The Awakening,Aang,18.0
42,The Headband,Aang,19.0
43,The Painted Lady,Aang,20.0
44,Sokka's Master,Aang,21.0
45,The Beach,Aang,20.0
46,The Avatar and The Firelord,Aang,21.0
47,The Runaway,Aang,22.0
48,The Puppetmaster,Aang,22.0
49,Nightmares and Daydreams,Aang,22.0
50,"The Day of Black Sun, Part 1: The Invasion",Aang,22.0
51,"The Day of Black Sun, Part 2: The Eclipse",Aang,23.0
52,The Western Air Temple,Aang,23.0
53,The Firebending Masters,Aang,23.0
54,"The Boiling Rock, Part 1",Aang,23.0
55,"The Boiling Rock, Part 2",Aang,24.0
56,The Southern Raiders,Aang,24.0
57,The Ember Island Players,Aang,24.0
58,"Sozin's Comet, Part 1: The Phoenix King",Aang,23.0
59,"Sozin's Comet, Part 2: The Old Masters",Aang,23.0
60,"Sozin's Comet, Part 3: Into the Inferno",Aang,24.0
61,"Sozin's Comet, Part 4: Avatar Aang",Aang,23.0
1,The Boy in the Iceberg,Katara,0.0
2,The Avatar Returns,Katara,0.0
3,The Southern Air Temple,Katara,0.0
4,The Warriors of Kyoshi,Katara,1.0
5,The King of Omashu,Katara,2.0
6,Imprisoned,Katara,3.0
7,"The Spirit World (Winter Solstice, Part 1)",Katara,4.0
8,"Avatar Roku (Winter Solstice, Part 2)",Katara,4.0
9,The Waterbending Scroll,Katara,4.0
10,Jet,Katara,4.0
11,The Great Divide,Katara,4.0
12,The Storm,Katara,4.0
13,The Blue Spirit,Katara,4.0
14,The Fortuneteller,Katara,5.0
15,Bato of the Water Tribe,Katara,6.0
16,The Deserter,Katara,7.0
17,The Northern Air Temple,Katara,7.0
18,The Waterbending Master,Katara,7.0
19,"The Siege of the North, Part 1",Katara,8.0
20,"The Siege of the North, Part 2",Katara,8.0
21,The Avatar State,Katara,7.0
22,The Cave of Two Lovers,Katara,7.0
23,Return To Omashu,Katara,8.0
24,The Swamp,Katara,8.0
25,Avatar Day,Katara,9.0
26,The Blind Bandit,Katara,10.0
27,Zuko Alone,Katara,
28,The Chase,Katara,10.0
29,Bitter Work,Katara,11.0
30,The Library,Katara,11.0
31,The Desert,Katara,11.0
32,The Serpent's Pass,Katara,12.0
33,The Drill,Katara,11.0
34,City of Walls and Secrets,Katara,11.0
35,The Tales of Ba Sing Se,Katara,12.0
36,Appa's Lost Days,Katara,
37,Lake Laogai,Katara,11.0
38,The Earth King,Katara,11.0
39,The Guru,Katara,12.0
40,The Crossroads of Destiny,Katara,12.0
41,The Awakening,Katara,12.0
42,The Headband,Katara,13.0
43,The Painted Lady,Katara,14.0
44,Sokka's Master,Katara,14.0
45,The Beach,Katara,15.0
46,The Avatar and The Firelord,Katara,14.0
47,The Runaway,Katara,14.0
48,The Puppetmaster,Katara,14.0
49,Nightmares and Daydreams,Katara,15.0
50,"The Day of Black Sun, Part 1: The Invasion",Katara,16.0
51,"The Day of Black Sun, Part 2: The Eclipse",Katara,16.0
52,The Western Air Temple,Katara,15.0
53,The Firebending Masters,Katara,15.0
54,"The Boiling Rock, Part 1",Katara,14.0
55,"The Boiling Rock, Part 2",Katara,13.0
56,The Southern Raiders,Katara,12.0
57,The Ember Island Players,Katara,12.0
58,"Sozin's Comet, Part 1: The Phoenix King",Katara,12.0
59,"Sozin's Comet, Part 2: The Old Masters",Katara,13.0
60,"Sozin's Comet, Part 3: Into the Inferno",Katara,14.0
